word,part_of_speech,observations,avg_gender_score,p_value,effect_size,category,
_baseline,NOUN,303970,0.394642069941112,1,0,,
_baseline,ADJ,303970,0.394642069941112,1,0,,
_baseline,VERB,303970,0.394642069941112,1,0,,
thank,VERB,161394,0.407704251707007,8.59145001951301E-27,0.013062181765895,,
be,VERB,70128,0.375863563769092,1.84341238290846E-24,-0.018778506172021,,
author,NOUN,66122,0.423394785396682,2.88241521203978E-51,0.028752715455569,,
assistance,NOUN,48822,0.545252959731277,5e-324,0.150610889790165,6,
manuscript,NOUN,47301,0.418540834231833,3.1593019218793E-26,0.02389876429072,5,
would,VERB,45246,0.416576271935641,1.91783255581264E-21,0.021934201994529,,
like,VERB,45000,0.416998888888889,4.42350684691826E-22,0.022356818947777,,
provide,VERB,39711,0.333942232630774,5.04772489878443E-138,-0.060699837310338,,
support,NOUN,29118,0.419049728690163,2.28016651210152E-17,0.02440765874905,6,
acknowledge,VERB,27560,0.419566037735855,3.41412193205471E-17,0.024923967794743,,
acknowledgement,NOUN,27293,0.420651449089516,2.22424120775057E-18,0.026009379148404,,
help,NOUN,25945,0.443816920408559,2.81304314107038E-58,0.049174850467446,6,
technical,ADJ,24618,0.569307011130059,5e-324,0.174664941188947,3.1,
grateful,ADJ,23694,0.379429813454893,1.59779922917799E-06,-0.01521225648622,,
comment,NOUN,21436,0.311057566710221,1.21591009820638E-142,-0.083584503230892,4,
study,NOUN,20337,0.430990313222211,5.09857149668204E-26,0.036348243281099,,
datum,NOUN,19891,0.424857975969036,4.30883296280909E-18,0.030215906027924,2.2,
discussion,NOUN,19380,0.269271413828701,9.72473422402187E-294,-0.125370656112412,4,
analysis,NOUN,18055,0.372819163666584,1.79459271746886E-09,-0.021822906274528,2,
helpful,ADJ,17569,0.303454949058011,1.32434332162276E-139,-0.091187120883101,6,
who,NOUN,12103,0.423331405436677,1.3825288011587E-10,0.028689335495564,,
critical,ADJ,11802,0.357674970344015,1.43005429791796E-16,-0.036967099597097,4,
advice,NOUN,11796,0.304061546286883,3.74067898732607E-93,-0.09058052365423,4,
work,NOUN,11767,0.38066966941447,0.001917017015218,-0.013972400526642,,
wish,VERB,10323,0.423383706286935,2.99322604607387E-09,0.028741636345822,,
acknowledgment,NOUN,10194,0.409835197174812,0.001866512040867,0.0151931272337,,
valuable,ADJ,9863,0.340396431106159,9.39719954917753E-29,-0.054245638834953,,
suggestion,NOUN,8713,0.299026741650412,3.53694488807203E-77,-0.095615328290701,4,
contribution,NOUN,8556,0.441349929873776,1.68371432083222E-18,0.046707859932663,6,
research,NOUN,8542,0.425520955279796,7.01216686552663E-09,0.030878885338684,,
statistical,ADJ,8384,0.342304389312982,3.84784068313129E-23,-0.05233768062813,2.2,
preparation,NOUN,7595,0.530911125740618,6.96415005107153E-127,0.136269055799506,6,
paper,NOUN,7372,0.368890396093331,5.61476039121311E-06,-0.025751673847781,5,
collection,NOUN,7136,0.491069226457397,5.58055365405827E-61,0.096427156516285,6,
excellent,ADJ,6656,0.660241887019225,0,0.265599817078112,,
use,VERB,6219,0.30210644798199,3.5621857770926E-52,-0.092535621959123,,
member,NOUN,5982,0.411210297559346,0.00952953920889,0.016568227618234,,
sample,NOUN,5980,0.432647157190638,2.38662777687886E-09,0.038005087249526,1,
staff,NOUN,5841,0.454706385892826,1.57949498994035E-20,0.060064315951714,6,
fund,VERB,5802,0.446458117890384,1.13431485213543E-15,0.051816047949272,,
laboratory,NOUN,5784,0.426879322268327,5.98268201648717E-07,0.032237252327215,,
reviewer,NOUN,5739,0.283333333333332,1.64931366980715E-69,-0.11130873660778,,
experiment,NOUN,5648,0.423695113314449,9.04970946528348E-06,0.029053043373337,3.1,
edit,VERB,5625,0.557911111111112,1.48132040635178E-134,0.16326904117,5,
cell,NOUN,5521,0.354950190182936,1.14251840038348E-09,-0.039691879758176,1,
anonymous,ADJ,5279,0.260581549535896,2.2026638616364E-93,-0.134060520405217,,
early,ADJ,5144,0.341734059097977,4.08960517080977E-15,-0.052908010843135,,
editing,NOUN,5108,0.54118441660141,5.87676991811645E-99,0.146542346660297,5,
phd,NOUN,4859,0.49057213418399,1.28073092821612E-41,0.095930064242877,,
perform,VERB,4647,0.416935657413385,0.002092510529667,0.022293587472273,,
editorial,ADJ,4478,0.639736489504241,3.02749966393387E-239,0.245094419563128,,
version,NOUN,4422,0.340486205336951,1.0216339748401E-13,-0.054155864604162,,
english,ADJ,4120,0.483851941747572,5.79324521726697E-31,0.08920987180646,,
useful,ADJ,4070,0.272611793611792,5.66815608207653E-60,-0.12203027632932,,
language,NOUN,4052,0.479787759131293,5.23396596707218E-28,0.085145689190181,5,
have,VERB,4031,0.352143388737285,2.66449645787761E-08,-0.042498681203828,,
article,NOUN,4024,0.417775844930417,0.002847139232804,0.023133774989304,,
gift,NOUN,3800,0.224734210526314,4.50208882667889E-110,-0.169907859414798,,
draft,NOUN,3742,0.426822554783538,6.38634724625638E-05,0.032180484842425,5,
mouse,NOUN,3702,0.321780118854672,4.28124867432689E-20,-0.07286195108644,1,
express,VERB,3643,0.363016744441394,8.38577804820172E-05,-0.031625325499719,,
improve,VERB,3595,0.296528511821975,1.8392512101851E-34,-0.098113558119138,,
facility,NOUN,3370,0.345842729970326,4.78035385840124E-09,-0.048799339970786,3.2,
assist,VERB,3289,0.496108239586501,7.6572565966136E-32,0.101466169645389,6,
part,NOUN,3281,0.430560804632734,3.1451970537762E-05,0.035918734691621,,
prepare,VERB,3241,0.535276149336624,1.78711934725952E-58,0.140634079395512,6,
medical,ADJ,3137,0.555374561683138,1.61843247373847E-73,0.160732491742025,,
guidance,NOUN,3093,0.326563207242159,4.87750090521976E-15,-0.068078862698954,4,
thankful,ADJ,3038,0.352100065832784,1.25506336158545E-06,-0.042542004108329,,
antibody,NOUN,3036,0.249008563899867,1.65209144936499E-64,-0.145633506041245,1,
design,NOUN,3031,0.367505773672055,0.002034259383076,-0.027136296269058,4,
patient,NOUN,3031,0.486677664137249,1.18952331519648E-24,0.092035594196136,6,
indebted,ADJ,3017,0.359426582698044,6.69711570901632E-05,-0.035215487243069,,
writing,NOUN,3015,0.567860696517413,6.90314440298462E-82,0.173218626576301,5,
that,ADJ,2988,0.305689424364122,4.69418447917771E-24,-0.08895264557699,,
team,NOUN,2910,0.422353951890034,0.002406471174902,0.027711881948921,,
figure,NOUN,2881,0.43333911836168,2.51591674934142E-05,0.038697048420567,5,
input,NOUN,2867,0.363362399720962,0.000542142090236,-0.03127967022015,4,
revision,NOUN,2864,0.45663407821229,2.10004289315804E-11,0.061992008271177,5,
many,ADJ,2848,0.319301264044943,7.66868836805983E-17,-0.07534080589617,,
make,VERB,2813,0.31875222182723,6.83452088022338E-17,-0.075889848113883,,
use,NOUN,2754,0.28954248366013,1.18262183053594E-30,-0.105099586280983,,
gratitude,NOUN,2737,0.370840336134453,0.009839196246686,-0.023801733806659,,
line,NOUN,2645,0.297406427221171,1.66067562129991E-25,-0.097235642719941,,
constructive,ADJ,2645,0.293810964083175,3.3857804545682E-27,-0.100831105857937,4,
all,ADJ,2629,0.460840623811335,7.20268892672637E-12,0.066198553870222,,
which,ADJ,2627,0.359489912447658,0.000204466749411,-0.035152157493454,,
access,NOUN,2543,0.274809280377506,7.10399197288882E-37,-0.119832789563606,,
kind,ADJ,2521,0.304930583101943,6.62555296961317E-21,-0.08971148683917,,
share,VERB,2501,0.294434226309475,1.46048778243971E-25,-0.100207843631637,,
generous,ADJ,2495,0.269402805611222,2.45775763532454E-39,-0.125239264329891,,
editor,NOUN,2462,0.218911454102356,3.39822122918093E-77,-0.175730615838757,,
expert,ADJ,2401,0.5766472303207,4.5719634597658E-72,0.182005160379588,,
participate,VERB,2397,0.485969962453067,2.05545171186235E-19,0.091327892511954,6,
collect,VERB,2382,0.444941225860621,7.40514743564667E-07,0.050299155919509,6,
regard,VERB,2371,0.302125685364824,6.73806806594557E-21,-0.092516384576288,,
animal,NOUN,2330,0.473278969957082,1.7830745262276E-14,0.07863690001597,1,
field,NOUN,2326,0.326719690455717,1.05428681644509E-11,-0.067922379485395,,
conduct,VERB,2313,0.460856031128405,1.43746191624649E-10,0.066213961187292,,
give,VERB,2282,0.355521472392637,0.000125475048122,-0.039120597548475,,
image,NOUN,2263,0.355921343349536,0.000152687716581,-0.038720726591577,3.2 or 5,
colleague,NOUN,2217,0.34445647271087,9.97167243583093E-07,-0.050185597230243,,
develop,VERB,2178,0.315941230486684,2.93108704754744E-14,-0.078700839454428,4,
participant,NOUN,2151,0.547926545792655,2.17987174707657E-46,0.153284475851543,,
insightful,ADJ,2148,0.275730912476721,8.42871164511202E-31,-0.118911157464391,4,
dedicate,VERB,2146,0.225158434296364,1.75320734168867E-62,-0.169483635644748,,
strain,NOUN,2122,0.315603204524034,3.8032946712096E-14,-0.079038865417079,1,
measurement,NOUN,2099,0.364273463554073,0.003968808669882,-0.030368606387039,3.1,
financial,ADJ,2098,0.346248808388941,4.61813602014828E-06,-0.048393261552171,,
clinical,ADJ,2007,0.509367214748381,3.46026609690652E-25,0.114725144807269,,
program,NOUN,1993,0.360215755143001,0.001441468272843,-0.034426314798112,,
management,NOUN,1939,0.528174316658072,2.09565677756344E-32,0.133532246716959,6,
plasmid,ADJ,1870,0.23475935828877,7.20771315228252E-49,-0.159882711652343,1,
experimental,ADJ,1869,0.345741037988229,1.31910100403162E-05,-0.048901031952884,,
fruitful,ADJ,1743,0.240321285140562,1.96912054236007E-42,-0.154320784800551,,
editorial,NOUN,1738,0.597571921749137,7.31459664172765E-65,0.202929851808025,,
proofread,VERB,1737,0.491352907311456,4.44703734406895E-16,0.096710837370344,5,
microscopy,NOUN,1718,0.426676367869616,0.007124792891824,0.032034297928503,3.1 or 3.2,
material,NOUN,1644,0.332366180048662,1.70444691468267E-07,-0.062275889892451,1,
do,VERB,1587,0.342614996849399,1.768259042287E-05,-0.052027073091714,,
serve,VERB,1564,0.153350383631714,9.10095514827627E-97,-0.241291686309399,,
care,NOUN,1562,0.502592829705506,6.35014076799242E-18,0.107950759764394,,
effort,NOUN,1529,0.445938521909745,5.5405953866296E-05,0.051296451968633,,
software,NOUN,1509,0.170762094102054,1.68621885609722E-79,-0.223879975839059,2.1,
supply,VERB,1485,0.291454545454545,9.1556331845905E-17,-0.103187524486568,,
service,NOUN,1480,0.483912162162162,4.1357855253938E-12,0.08927009222105,6,
tissue,NOUN,1475,0.449762711864407,1.9904418920211E-05,0.055120641923294,1,
encouragement,NOUN,1474,0.217042062415196,4.434383989047E-48,-0.177600007525916,4,
