tag,observations
Acknowledgements,277872
Acknowledgments,210849
Funding,71665
Availability of data and materials,58660
Competing interests,47910
Authors’ contributions,47219
Ethics approval and consent to participate,31303
ACKNOWLEDGMENTS,30929
Consent for publication,30188
ACKNOWLEDGEMENTS,28200
Acknowledgment,27538
Publisher’s Note,15234
Acknowledgement,14643
Open Access,8607
Conflict of Interests,8201
Conflict of interest,7606
ACKNOWLEDGMENT,6601
ACKNOWLEDGEMENT,3352
Authors’ information,3106
Availability of data and material,3055
ACKNOWLEDGMENTS AND FUNDING,2867
Compliance with ethical guidelines,1939
Disclosures,1847
Ethics approval,1731
Conflicts of interest,1581
Disclosure,1407
Compliance with Ethics Guidelines,1370
Article Information,1289
Author contributions,1257
Authors’ contribution,1172
Ethical approval and consent to participate,1123
Authors' contributions,1104
Author’s contributions,1095
Conflict of Interest,1091
Disclosure of Potential Conflicts of Interest,1084
Author Contributions,1035
Notes,1020
Authors' Contribution,1013
Competing interest,951
Disclaimer,922
Declarations,922
About this supplement,885
Acknowledgments:,827
Consent to publish,782
Competing Interests,708
Authors’ Contributions,692
Availability of supporting data,648
Ethical approval,624
Data Availability,533
Compliance with ethics guidelines,509
Consent,451
Funding information,402
Financial support,396
Acknowledgements:,364
Declaration of Interests,337
Ethical standards,320
Conflict of interest statement,302
Declaration of interest,299
Human and Animal Rights and Informed Consent,298
Authorship,293
Informed consent,289
Supplementary data,262
Conflict of interest and funding,247
Availability of Data and Materials,241
Ethics and consent to participate,230
Availability of data and supporting materials,228
Funding sources,221
Conflict of interests,221
Declaration,220
Ethical standard,219
Contributors,214
Availability of data,211
Remerciements,209
Contributions,197
Duality of interest,192
Contribution statement,191
Conflicts of Interest,191
Ethical Approval,186
ACKNOWLEDGMENTS AND DISCLOSURE STATEMENTS,177
Publisher's Note,173
Author’s information,172
ᅟ,170
Disclosure statement,169
Financial disclosure,167
Publisher’s note,162
COMPLIANCE WITH ETHICS GUIDELINES,160
Compliance with ethical standards,157
Funding source,156
,155
Conflict of Interest Declaration,154
Ethics,150
Grant support,147
Consent to publication,147
Authors' Contributions,145
Duality of Interest,145
Off‐label Antimicrobial Declaration,144
Sources of support,136
Author’s contribution,135
Source of funding,128
Author note,128
Acknowledgements and funding,126
V. Acknowledgments,119
Sources of funding,117
Data availability,117
Acknowlegements,116
ABBREVIATIONS,111
Supplementary material,108
Author contribution,107
Availability of data materials,107
acknowledgements,104
Funding statement,103
Authors contributions,103
FUNDING,103
ACKNOWLEDGMENTS AND GRANT SUPPORT,102
Fundings,101
Abbreviations,95
Note,94
Transparency declarations,93
Consent to participate,86
Acknowlegments,85
Ethics statement,84
Authors’contributions,82
Funding Sources,81
Consent for publications,80
FOOTNOTES,79
CONFLICT OF INTEREST STATEMENT,78
ACKNOWLEDGMENTS AND DISCLOSURES,75
Financial Support,75
KEY MESSAGES,74
Conflicts of Interests,74
Aknowledgements,74
Authors' information,73
Acknowledgments and Disclosures,73
Author Note,70
Acknowledgement:,68
Ethical statement,67
Author's Contribution,67
Acknowledgments.,67
Author information,67
Ethic approval and consent to participate,67
Grant acknowledgment,64
Ethics Approval and Consent to Participate,63
Disclaimers,63
Consent of publication,62
Acknowledgment:,62
"Ethics, consent and permissions",61
Financial disclosures,60
Compliance with Ethical Standards,59
Funding/support,58
Author contribution statement,58
ACKNOWLEDGMENTS AND FUNDINGS,58
Data sharing,56
Acknowledgments and conflict of interest disclosure,54
ACKNOWLEGEMENTS,54
Authors’ Information,53
6. Acknowledgements,53
Role of the funding source,51
Funding/Support,51
Acknowledgements and Funding,50
Consent for Publication,50
Informed Consent,50
ACKNOWLEDGEMENTs,49
Conflict of Interest Statement,49
Potential conflicts of interest.,49
Availability and requirements,47
Grant Information,47
Data sharing statement,47
Competing financial interests,46
Required Author Forms,45
ACKNOWLEGMENTS,45
Competing of interests,43
Aknowledgments,43
Compliance with ethics,42
Author's contributions,42
Data availability statement,42
AUTHOR CONTRIBUTIONS,42
Support,41
Funding support,40
Financial support and sponsorship,40
Author Contribution,40
Ethical Standards,40
Supplementary Material,40
Financial support.,39
Acknowledgments/disclosure,39
Endnotes,39
Author’s Contributions,38
Trial status,38
Footnotes,38
Acknowledegments,37
AKNOWLEDGEMENTS,37
Ethics approval and consent,37
Availability of data and materials section,37
Acknowledgments and disclosures,36
Accession numbers,36
Financial Disclosure,36
Grants,36
Availability of data and supporting materials section,35
Authors Contribution,34
Grant Support,34
Acknowledgments/disclosures,33
Availability of the data and materials,33
Patient consent,33
ACKNOWLEDGEMENTS AND FUNDING,32
Commentary on,31
Sources of Funding,31
Editorial Assistance,31
Author’ contributions,31
Authorship Contributions,31
Dedication,31
Data deposition,31
Declaration of Interest,30
Ethics Approval,30
Authors information,30
Ethical considerations,30
Acknowledgments and funding,29
Sponsor,29
Peer review,28
Authors' contribution,28
Declaration of Conflicting Interests,28
Authors contribution,28
Transparency declaration,28
ACKOWLEDGEMENTS,27
Acknowledgements.,27
Trial sponsor,27
Acknowledgments and Funding,27
Authors Contributions,26
Role of funding source,26
Previous presentations,25
Compliance With Ethics Guidelines,25
Dissemination policy,25
Human and animal rights,25
Ethics approvals and consent to participate,25
Authors’ Contribution,24
Authors´ contributions,23
Acknowledge,23
Declaration of interests,23
Authors’ contributors,23
Supporting Information,22
Source of Funding,22
Ethics of approval and consent to participate,22
Prior Presentation,22
Ackowledgements,22
Authors’ informations,22
Funders,21
Authorship contributions,21
Study funding,21
V. Acknowledgements,21
Ethics and consent,20
Collaborators,20
Medical Writing Assistance,20
Compliance with Ethical Guidelines,20
Acknowledgment/disclosure,20
RESUMO,20
Statement of Informed Consent,20
CONFLICT OF INTEREST,20
Conflicts of interest statement,20
Prior presentation,19
Ethics approval and consent participate,19
Availability data and materials,19
Supplementary Data,19
Source of support,19
Funding Source,19
"Medical Writing, Editorial, and Other Assistance",19
Medical Writing and Editorial Assistance,19
Ethical consideration,19
Ethics approval and consent to participant,18
Conflicts of interests,18
Statement,18
Data accessibility,18
Financial & competing interests disclosure,18
Presentation,18
Acknowlegement,18
Competing Interest,18
Key Messages,17
Ethics Committee Approval and Patient Consent,17
Acknowledgements relating to this article,17
Authorship Contribution,17
Supporting information,17
Role of the sponsor,17
Potential conflict of interest,17
7. Acknowledgements,17
Author's Contributions,17
Grant Acknowledgment,17
Availability of supporting data and materials,17
Ethical standards and patient consent,17
AUTHOR DISCLOSURE INFORMATION,17
Disclosure Statement,17
Disclosure of potential conflicts of interest,17
Acknowledgments and disclosure,17
Ethics approval and consent to participants,16
Financial disclosure statement,16
Data access,16
Additional information,16
Acknowlegment,16
Acknowledgements and Disclosures,16
Department of Health disclaimer,16
ACKNOWLEDGMENT AND FUNDING,16
Medical Writing and/or Editorial Assistance,16
8. Acknowledgements,15
Copyright statement,15
Competing of interest,15
Funding disclosure,15
Study status,15
Consent for publish,15
Confidentiality,15
Statement of Human and Animal Rights,15
References,15
Key points,15
VI. Acknowledgments,14
Conflict of Interest:,14
Human/Animal Rights:,14
Informed Consent:,14
Prior presentations,14
Dissemination,14
Institutional Animal Care and Use Committee (IACUC) or Other Approval Declaration,14
Highlights,14
Funding and acknowledgements,14
Ackowledgments,14
Ethics approval and consent to participate.,14
Availability,14
Web resources,14
Compliance with Ethics Requirements,14
Compliance with ethical requirements,14
Ethics approval and consent to participation,14
Research support,14
Author's contribution,14
Ethics (and consent to participate),13
Previous presentation,13
ACKOWLEDGMENTS,13
Ethical Standard,13
Access to research materials,13
Ethics committee approval,13
Available of data and materials,13
Acknowledegements,13
Prior Presentations,13
Author’s Contribution,13
Ethics approval and consent for participate,13
CDC disclaimer,13
6. ACKNOWLEDGMENTS,13
Transparency,13
Provenance and peer review,13
ACKNOWLEDGMENTS & DISCLOSURES,12
Ethics and approval and consent to participate,12
Acknowldgments,12
Animal studies,12
Author details,12
Compliance with ethical requirements and Conflict of interest,12
Aknowledgement,12
Financial Support and Sponsorship,12
COMPETING INTERESTS,12
AKNOWLEDGMENTS,12
Grant information,12
CONFLICTS OF INTEREST/FINANCIAL DISCLOSURES,12
Declaration of conflicting interests,12
Competing interests.,12
Open access,12
AGRADECIMENTOS,12
Financial competing interests,12
Ethical approval and consent,11
SUPPLEMENTARY MATERIAL,11
Acknowledgements and conflict of interest disclosure,11
Data,11
Data Availability Statement,11
Ethics Statement,11
Acknowledgements and disclosures,11
AUTHORS’ CONTRIBUTIONS,11
Study sponsor,11
Accession number,11
AcknowledgEments,11
Acknowledgement and funding,11
ACKNOWLEGEMENT,11
ACKNOLEDGEMENTS,11
Conflicts of interest and funding,11
Acknowldgements,11
Statement of human and animal rights,11
Off‐Label Antimicrobial Declaration,11
Funding:,11
Authors’ contributions.,11
Acknowledgements/Funding,11
Acknowlegdements,11
Ethical Statement,11
5. Acknowledgements,10
5. Acknowledgments,10
Protocol amendments,10
Animal Studies,10
9. Acknowledgements,10
Acknowledments,10
About the Author,10
Related articles,10
AUTHORSHIP,10
Availability of data and materials.,10
Open peer review,10
Authors′ contributions,10
ACKNOWLEDGeMENTS,10
Ethical clearance,10
Authors’contribution,10
Disclosure of Potential Conflict of Interest,10
Sponsorship,10
Funding Information,9
ACKNOWLEGMENT,9
V. Acknowledgment,9
Source(s) of support,9
Consent for publication.,9
Guarantor,9
Declarations of interest,9
Aknowledgment,9
Duality of interest statement,9
CONTRIBUTORS,9
Availability for data and materials,9
Author disclosure statement,9
Grant,9
New software,9
ACKONWLEDGEMENTS,9
Authors` contributions,9
Acknowledgments/Disclosure,9
Ethic approval,9
Level of evidence,9
Access to data,9
AKNOWLEDGEMENT,9
Availability of date and materials,9
5. ACKNOWLEDGMENTS,9
Contributorship,9
5. ACKNOWLEDGMENT,9
Contributions of authors,9
Consent section,9
Non-financial competing interests,8
Acknowledgment.,8
Grant sponsor,8
Conflict of interest disclosure,8
Permissions,8
Steering committee,8
Trial registration,8
Summary,8
ACKNOWLEDMENTS,8
Financial Disclosures,8
Key Message,8
ACKNOWlEDGEMENTS,8
Human rights statements and informed consent,8
Ethics approval and consent for publication,8
Contribution of authors,8
Acknowledgement.,8
Consent to Publish,8
Acknowlegdments,8
Role of funding,8
Animal Rights,8
Deposition of data,8
Conclusion,8
Conflict of Interest Disclosure,8
Ethics approval and consent to publish,8
Disclosure Summary:,8
Author roles,8
DATA ARCHIVING,8
ACKNOWLEDGEMENTS:,8
Ethical Approval and Consent to participate,8
Synopsis,7
Ethics Committee Approval,7
Disclosure of conflicts of interest,7
Acknowledgment and funding,7
WHAT DOES THIS STUDY ADD?,7
Completing interests,7
Disclosure of funding,7
Human Studies and Informed Consent,7
Supplement sponsorship.,7
Sponsors,7
Registration,7
7. Acknowledgments,7
Authors’ Statement of Conflict of Interest and Adherence to Ethical Standards,7
Availability of data and supporting material,7
ACKNOWLDEGEMENTS,7
Prior publication,7
Role of funding sources,7
Financing,7
Animal ethics,7
Protocol,7
PROVENANCE AND PEER REVIEW,7
Ethics approval and consent to partecipate,7
acknowledgments,7
CONFLICT OF INTERESTS,7
Acknowedgements,7
Sources of financial support,7
WHAT'S ALREADY KNOWN ABOUT THIS TOPIC?,7
Addendum,7
Authors‘contributions,7
"Ethics approval, consent to participate and consent for publication",7
Contribution,7
Role of the Sponsor,7
Current status,7
ACKNOWLEDEGMENTS,7
Animal rights,7
Availablity of data and materials,7
Author contributions:,7
Research involving human participants and/or animals,7
Meetings,7
Amendments,7
Study investigators,6
Conflict of Interest Disclosures,6
Authors’ details,6
Publishers Note,6
Condensation,6
Ethical Approval and Consent to Participate,6
Role of the Funding Source,6
Human and Animal Rights,6
CONFLICTS OF INTEREST,6
Continuing medical education,6
funding,6
Protocol version,6
Human and animal rights and informed consent,6
Details of funding,6
About the authors,6
DISCLOSURE,6
Ethics approval and consent for participation,6
Key messages,6
Data Sharing Declaration,6
Review history,6
Funding Support,6
Editorial responsibility,6
6 Acknowledgements,6
Acknoledgements,6
Standards of reporting,6
Declaration of funding,6
Informed consent disclosure,6
Authors’ contributions:,6
Ethics Approval and consent to participate,6
Informed consent statement,6
Key Points,6
Appendix,6
Funding and disclosure,6
Ancillary and post-trial care,6
Ethics approval and Consent to participate,6
Funding and support,6
Conflict of interest disclosures,6
Ethics and consent statement,6
Department of Health Disclaimer,6
Presentations,6
Acknowledgments/Disclosures,6
Ethical standards statement,6
ACKNOWLEDGEMENTS AND GRANT SUPPORT,6
AKNOWLEDGMENT,6
Ethics approval and consent to participate:,6
Transparency statement,6
Limitations,6
Availability of data and methods,6
Avaliability of data and materials,6
Study design,6
Funding and Acknowledgements,6
Availability of data and materials statement,6
Conflict Interests,6
Ethics approval and consent of participate,6
Authors‘ contributions,6
Statement of informed consent,6
Novelty and impact,6
Authorsʼ contributions,6
Ethics approval and content to participate,6
Funding Statement,6
Conflict of Interest Declaration:,6
Data availability statements,6
Off‐label Antimicrobial Declaration:,6
ACKNOWEDGEMENTS,6
Disclaimer statement,6
ACKNOWLEDEGMENT,6
ETHICS APPROVAL,6
Statement of human rights,6
ACKNOWLEDGMENTS:,6
Endnote,5
Acknowledgments And Disclosures,5
Sample availability,5
Compliance with Ethics guidelines,5
Ethical statements,5
Authors ‘contributions,5
Disclosure of interest,5
Steering Committee,5
Human and Animal Studies,5
Conflict of Interest/Disclosure,5
Data analysis,5
Acnowledgements,5
ACKNOWLEGMENTS AND FUNDING,5
7. ACKNOWLEDGMENTS,5
Trial registration number,5
Avaibility of data and materials,5
Data monitoring committee,5
COMPETING FINANCIAL INTERESTS,5
Support statement,5
Ethical approvals,5
Trademark statement,5
Human participant protection,5
Contribution to authorship,5
Availability of materials,5
Research involving animals,5
Role of the funder/sponsor,5
Disclaimer.,5
ACKNOWLEDGMENTS/GRANT SUPPORT,5
Web Resources,5
Statement of author contributions,5
4. ACKNOWLEDGMENT,5
Consent statement,5
Department of health disclaimer,5
Meeting presentation,5
6. Acknowledgments,5
Authors’ Note,5
Authors’ note,5
Availabilty of data and materials,5
IRB approval,5
Author disclosures,5
Human/Animal Rights,5
Investigators,5
Roles and responsibilities,5
Study registration,5
Acknowledgemnts,5
Role of the sponsors,5
Paper context,5
ACKNOWLEDGEMENTS AND DISCLOSURE STATEMENTS,5
ACKNOWLEGDEMENTS,5
Disclosures and acknowledgments,5
Data Accessibility,5
"Medical Writing, Editorial and Other Assistance",5
Editor's note,5
DISCLOSURES,5
ACKNOWLDGEMENTS,5
ACKNOWLDGMENTS,5
acknowledgement,5
"A
cknowledgments",5
Grant Support:,5
Portuguese version,5
ACNOWLEDGEMENTS,5
Ethics approval consent to participate,5
ACKNOWLEDMENT,5
Accession Numbers,5
ACKNOWLEDGEMENT:,5
Copyright,5
7 Acknowledgements,5
COMPLIANCE WITH ETHICAL STANDARDS,5
Trial Steering Committee,5
Human and animal rights disclosure,5
Writing committee,5
What Does This Study Add?,5
What's Already Known About This Topic?,5
Statement of authorship,5
IV. Acknowledgments,5
Potential conflict of interest:,5
ACKNOWLEDGEMENTS AND DISCLOSURES,5
Acknowldegments,5
Availability of Data and Material,5
List of investigators,5
Previous Presentation,5
Ethical guidelines,5
REFERENCES,4
Data Monitoring Committee,4
Funding disclosures,4
Authors contributions:,4
Medical Writing,4
11. Acknowledgements,4
About this Supplement,4
Provenance,4
6. ACKNOWLEDGMENT,4
Available data and materials,4
Concent for publication,4
Summary statement,4
Acknoledgments,4
"Ethics approval, consent to participate, and consent for publication",4
Funding and Acknowledgments,4
Trademark,4
Data and materials,4
Limitations of the Study,4
Authorship contribution,4
Data archiving statement,4
Study approval,4
Ethics approvals,4
Availability of dataset and materials,4
Compliance with ethical standard,4
Nucleotide sequence accession numbers,4
Conflict of Intrests,4
COMPLIANCE WITH ETHICAL GUIDELINES,4
Author statement,4
Funding and declaration of interests,4
Ethical approval and informed consent,4
Members of the DRIVE-AB WP1 group,4
Dissemination plans,4
Capsule,4
Disclosures and Acknowledgments,4
Human rights statement and informed consent,4
Authors’ contrib,4
Acknowledges,4
Potential conflicts of interest,4
Supplemental Material,4
Author Information,4
Additional contributions,4
Conflict of interests and funding,4
Funding and disclosures,4
Ethics statements,4
Appendix 1,4
CARE checklist,4
DECLARATION OF INTEREST,4
Specific author contributions,4
Individual persons data,4
Supporting data,4
Availability of supporting data and material,4
Consent publication,4
Availablility of data and materials,4
Declaration of financial/other relationships,4
Research involving plants,4
Compliance of ethical guidelines,4
Role of the funder,4
Animal ethics approval,4
Contributions by the Authors,4
Compliance with ethic guidelines,4
ACKNOWLEDEGEMENTS,4
Ackonwledgements,4
Indemnity,4
Peer Review,4
Acknowledgments and Notice of Grant Support,4
Research Support,4
Administrative information,4
NOTES,4
Acknowledgements and Disclosure,4
Trial steering committee,4
Funding and sponsorship,4
Endorsements,4
In memoriam,4
DATA SHARING STATEMENT,4
ACKNOWLEDGE,4
Description of additional data files,4
Ackowledgements:,4
Financial support and sponsorship:,4
Achnowledgements,4
ACKNOWLEGDEMENT,4
Ethical approval and consent to participants,4
Conflicts of interest:,4
Acknowledgment/Disclosure,4
Grant acknowledgement,4
ACKNOWLEDEMENTS,4
Statement of interest,4
Précis,4
Recommendations,4
4. Acknowledgments,4
